x,y,Thermal Conductivity,Lattice Parameter(WPF),delta_d(SPF-WPF),d-spacing(WPF),Fluorite Size Disorder,Entropy,strain(LMFIT-dspacing),a111(LMFIT),a200(LMFIT),mismatch(LMFIT-lattice parameter),d111(LMFIT),d200(LMFIT),corr_length,fwhm111(LMFIT),delta_d/d
-2.5,-2.5,0.668247271,5.24511,0.0203989782092195,2.622555,0.103831924577736,3.924186996079747,0.127131,5.245331,5.286782,-0.007902,3.028393,2.643391,2.948660272867483,0.097076,0.007778284233970117
-2.5,-2.4,0.651635106,5.24511,0.0203989782092195,2.622555,0.1037266805246494,3.927793615974595,0.127131,5.245331,5.286782,-0.007902,3.028393,2.643391,2.948660272867483,0.097076,0.007778284233970117
-2.5,-2.3,0.661062655,5.244901,0.0198771563647595,2.6224505,0.1035879856733143,3.939861918426456,0.12724,5.245438,5.286226,-0.007776,3.028455,2.643113,2.948660272867483,0.096367,0.007579611651300759
-2.5,-2.2,0.594712152,5.244901,0.0198771563647595,2.6224505,0.1034467362622858,3.95185904742597,0.12724,5.245438,5.286226,-0.007776,3.028455,2.643113,2.948660272867483,0.096367,0.007579611651300759
-2.5,-2.1,0.620808807,5.24468,0.0196636367858751,2.62234,0.1033379647854577,3.9550909164323,0.127249,5.245217,5.285954,-0.007766,3.028328,2.642977,2.948660272867483,0.095942,0.007498507739604743
-2.5,-2.0,0.661491764,5.24468,0.0196636367858751,2.62234,0.1032062894597494,3.966553845984834,0.127249,5.245217,5.285954,-0.007766,3.028328,2.642977,2.948660272867483,0.095942,0.007498507739604743
-2.5,-1.9,0.655412579,5.24468,0.0196636367858751,2.62234,0.1030652326031315,3.978188690891055,0.127249,5.245217,5.285954,-0.007766,3.028328,2.642977,2.948660272867483,0.095942,0.007498507739604743
-2.5,-1.8,0.472202248,5.244426,0.018917715705311,2.622213,0.1029549815478348,3.981084159415821,0.127448,5.244903,5.284429,-0.007536,3.028146,2.642214,2.948660272867483,0.095961,0.007214408480665377
-2.5,-1.7,0.628683947,5.244426,0.018917715705311,2.622213,0.1028176734169899,3.992461040249706,0.127448,5.244903,5.284429,-0.007536,3.028146,2.642214,2.948660272867483,0.095961,0.007214408480665377
-2.5,-1.6,0.0,5.244072,0.0186307087933328,2.622036,0.1028176734169899,3.992461040249706,0.127614,5.244878,5.283399,-0.007344,3.028132,2.641699,2.948660272867483,0.095868,0.007105435925873177
